xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-3.35788174604023e-5
0.05,-0.01437790593933883,-0.01569204233176228,-3.547601403598603e-5
0.1,-0.028308804705521773,-0.03075701911549713,-0.015144113317890881
0.15,-0.04180140833032801,-0.045226242292535065,-0.029764809255124012
0.2,-0.054864343153372984,-0.05932960912486387,-0.04391900173170367
0.25,-0.06750614848902003,-0.07293972605157627,-0.05760502445718212
0.3,-0.07973527538409186,-0.08617288079333273,-0.07087617781226094
0.35,-0.09156008546380984,-0.09884874394960795,-0.0836979066857541
0.4,-0.1029888498634806,-0.11111148875748941,-0.09601469750273964
0.45,-0.11402974824341533,-0.1230468857739816,-0.10790228676218984
0.5,-0.12469086788463173,-0.13512886937971774,-0.11936506754521224
0.55,-0.1349802028630128,-0.14596460473002204,-0.13041731106637638
0.6,-0.144905653299503,-0.15644412588632425,-0.1411317605139651
0.65,-0.15447502468410032,-0.16667651835595268,-0.15145263814809734
0.7,-0.16369602727135282,-0.1764229756141312,-0.16139175362263794
0.75,-0.17257627554517255,-0.18730646626324673,-0.1709548789198795
0.8,-0.18112328775076614,-0.19631610588986828,-0.18012450546369113
0.85,-0.18934448549158311,-0.20512345223179193,-0.1889357599621346
0.9,-0.1972471933891855,-0.2136109476969501,-0.1973433804789557
0.95,-0.20483863880400077,-0.22201273566245142,-0.20541024694848037
1.0,-0.21212595161492248,-0.22994315762933723,-0.21323135065290963
1.05,-0.21911616405586862,-0.23754463977900464,-0.2207263211410765
1.1,-0.2258162106072932,-0.24465737518268732,-0.2278269929178563
1.15,-0.23223292794082492,-0.2513661862304042,-0.23461859101793853
1.2,-0.2383730549151899,-0.2581516282912033,-0.2411350999699921
1.25,-0.24424323262156944,-0.2642291413415445,-0.2473572732873597
1.3,-0.2498500044766848,-0.2705727960549316,-0.2532576525893926
1.35,-0.25519981636185685,-0.2761337602379895,-0.2588790521919892
1.4,-0.26029901680632717,-0.2817408030985782,-0.2643136028278585
1.45,-0.26515385721325974,-0.2867709600342096,-0.269481914480079
1.5,-0.26977049212671317,-0.29223345707191867,-0.2743077902934804
1.55,-0.27415497953810436,-0.2968438031487832,-0.27888271100238077
1.6,-0.2783132812305206,-0.30091898386743693,-0.2832636817202109
1.65,-0.2822512631594655,-0.3048304061251045,-0.2874061213127966
1.7,-0.2859746958685099,-0.3087194283547743,-0.2913163686501485
1.75,-0.2894892549384032,-0.3130259292271087,-0.29500096001247
1.8,-0.29280052146827895,-0.3180225286101971,-0.29845774485361576
1.85,-0.29591398258756596,-0.32139351432922747,-0.3017014433466235
1.9,-0.2988350319972465,-0.32509866527333,-0.30475491483101436
1.95,-0.3015689705391811,-0.32840649219216905,-0.3076069725168543
2.0,-0.3041210067922048,-0.33090683665640086,-0.3102255474211613
2.05,-0.30649625769378624,-0.33443219182813044,-0.3126549199913314
2.1,-0.30869974918598025,-0.3366647110815315,-0.31488374123082064
2.15,-0.31073641688455084,-0.3385807999586435,-0.31693475784154646
2.2,-0.31261110677006876,-0.34028203401331397,-0.31883913380595014
2.25,-0.3143285758998843,-0.3418391166553983,-0.32057591413295095
2.3,-0.3158934931398814,-0.3436530714695175,-0.3221840266852627
2.35,-0.3173104399149196,-0.3451465612765474,-0.3236342014974685
2.4,-0.3185839109769844,-0.3464580475797514,-0.32494213129769045
2.45,-0.3197183151899713,-0.3480242664637747,-0.3261017928650293
2.5,-0.3207179763301557,-0.3486558090750443,-0.3271047714019927
2.55,-0.3215871339014063,-0.34916168830246797,-0.32796918158083144
2.6,-0.3223299439641648,-0.3501812543164661,-0.3286826069408098
2.65,-0.3229504799773492,-0.35138561789739337,-0.32926683919527616
2.7,-0.32345273365224486,-0.351959146397863,-0.32973295868703156
2.75,-0.3238406158175778,-0.3524761883256744,-0.3300784542688921
2.8,-0.32411795729489473,-0.3523662651138169,-0.3302780065762581
2.85,-0.32428850978348894,-0.3526944453919658,-0.3303657790614136
2.9,-0.3243559467540697,-0.3526891799582875,-0.3303252899398345
2.95,-0.32432386435040106,-0.35270896036999744,-0.3301813349627956
3.0,-0.3241957822982105,-0.3522744064355582,-0.33000168494364895
3.05,-0.3239751448206178,-0.35153926299058597,-0.3297250224464773
3.1,-0.3236653215594236,-0.3507098547427865,-0.329306509159014
3.15,-0.32326960850156145,-0.35028991075445126,-0.3287991105049145
3.2,-0.32279122891008266,-0.3493640245868047,-0.32823440419242333
3.25,-0.3222333342590225,-0.3484634156657703,-0.3275872309928606
3.3,-0.32159900517158097,-0.3482167959802316,-0.326837422837736
3.35,-0.32089125236097277,-0.34723077773275074,-0.3260121670146182
3.4,-0.32011301757343774,-0.3460002573912169,-0.32513856648228046
3.45,-0.3192671745327935,-0.3447642957797985,-0.3241953728799465
3.5,-0.31835652988606833,-0.3440993009882087,-0.3231265450400417
3.55,-0.3173838241496636,-0.34282737676984276,-0.32199515625168923
3.6,-0.31635173265551636,-0.3412830121049031,-0.3209023203606835
3.65,-0.31526286649688423,-0.33968726683915984,-0.3197508455438379
3.7,-0.31411977347316444,-0.33814800802062356,-0.3185072184302459
3.75,-0.31292493903341717,-0.33644601300228205,-0.3172110060747838
3.8,-0.31168078721807324,-0.3351402283506475,-0.3158300942043618
3.85,-0.31038968159848485,-0.3334534371921953,-0.314402337597149
3.9,-0.30905392621388417,-0.33163142663559886,-0.31296656001629114
3.95,-0.3076757665053522,-0.33028528611600416,-0.31148813672253933
4.0,-0.3062573902464894,-0.3286460793183808,-0.3099346442464042
4.05,-0.3048009284703845,-0.326908328421289,-0.3083437208754702
4.1,-0.30330845639256976,-0.3249565580740961,-0.3067476027635698
4.15,-0.30178199432960967,-0.32272927806786067,-0.3051178570774105
4.2,-0.3002235086130547,-0.3206565995416016,-0.3035114591677704
4.25,-0.29863491249844804,-0.31859897035777957,-0.30187456132996804
4.3,-0.29701806706906325,-0.31669178279400845,-0.30017154611719743
4.35,-0.2953747821341647,-0.31466372003122467,-0.2984425865449572
4.4,-0.2937068171214925,-0.31249966249272143,-0.2967056787524064
4.45,-0.2920158819637102,-0.31052869634946223,-0.2949461937205941
4.5,-0.29030363797865205,-0.30846716455349316,-0.29308792434221603
4.55,-0.2885716987430328,-0.306322122534563,-0.2912119084349563
4.6,-0.28682163095953894,-0.30443448651906163,-0.28930668520080194
4.65,-0.28505495531697084,-0.30221779128420573,-0.28738716519125107
4.7,-0.2832731473433441,-0.3011566899090924,-0.2854952554656313
4.75,-0.28147763825172817,-0.2989044802589936,-0.2835913442181771
4.8,-0.2796698157786293,-0.2979367175762799,-0.28168022429601075
4.85,-0.2778510250148029,-0.2954773833006491,-0.2797598755889675
4.9,-0.2760225692283203,-0.29316802860668656,-0.27787115534409196
4.95,-0.27418571067974146,-0.2911382742123152,-0.2759751533065347
5.0,-0.2723416714292714,-0.2890072109197825,-0.27410166442241285
5.05,-0.2704916341357661,-0.28685558507329906,-0.27222287085167435
5.1,-0.26863674284749983,-0.2849651268865216,-0.270261552420032
5.15,-0.2667781037845284,-0.2830512050600325,-0.26829864901309236
5.2,-0.2649167861126182,-0.2809602210060012,-0.2663797435570555
5.25,-0.26305382270858574,-0.278853502732657,-0.26446060570642826
5.3,-0.2611902109170236,-0.27654380523305333,-0.2624700320593137
5.35,-0.25932691329826874,-0.2745642247349952,-0.26048251266452677
5.4,-0.25746485836760497,-0.27296307274005516,-0.2584984614854706
5.45,-0.25560494132559963,-0.2707061464179253,-0.25651930980453047
5.5,-0.2537480247795299,-0.26872724155386235,-0.2545802410505011
